Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:15 AM
Sensor Position (Degrees)	Light Intensity (Volts)
200.26667	-0.00037
200.26667	0.00027
200.26667	-0.00102
200.26667	-0.00182
200.26667	0.00220
200.26667	0.00011
200.26667	0.00285
200.26667	0.00220
200.26667	0.00398
200.26667	0.00381
200.26667	-0.00070
200.26667	0.00011
200.26667	0.00011
200.26667	-0.00102
200.26667	-0.00086
200.26667	-0.00053
200.26667	-0.00070
200.26667	-0.00198
200.26667	0.00011
200.26667	-0.00005
200.26667	-0.00118
200.26667	0.00108
200.26667	-0.00070
200.26667	-0.00134
200.26667	0.00301
200.26667	0.00349
200.26667	0.00623
200.26667	0.00575
200.26667	0.00253
200.26667	0.00204
200.26667	0.00124
200.26667	0.00043
200.26667	-0.00021
200.26667	0.00124
200.26667	-0.00215
200.26667	-0.00037
200.26667	0.00075
200.26667	0.00108
200.26667	0.00543
200.26667	0.00607
200.26667	0.00510
200.26667	0.00704
200.26667	0.00526
200.26667	0.00639
200.26667	0.00720
200.26667	-0.00102
200.26667	0.00736
200.26667	0.00462
200.26667	0.00720
200.26667	0.00591
200.26667	0.00478
200.26667	0.00220
200.26667	-0.00070
200.26667	-0.00118
200.26667	-0.00150
200.26667	-0.00021
200.26667	-0.00037
200.26667	0.00011
200.26667	0.00027
200.26667	-0.00102
200.26667	0.00543
200.26667	0.00478
200.26667	0.00430
200.26667	0.00140
200.26667	0.00027
200.26667	-0.00070
200.26667	-0.00118
200.26667	0.00027
200.26667	0.00124
200.26667	0.00124
200.26667	0.00156
200.26667	-0.00021
200.26667	-0.00086
200.26667	0.00092
200.26667	-0.00021
200.26667	0.00108
200.26667	0.00075
200.26667	-0.00134
200.26667	0.00027
200.26667	0.00414
200.26667	0.00526
200.26667	0.00510
200.26667	0.00881
200.26667	0.00446
200.26667	0.00720
200.26667	0.00220
200.26667	0.00462
200.26667	0.00317
200.26667	0.00108
200.26667	0.00059
200.26667	0.00043
200.26667	-0.00086
200.26667	-0.00070
200.26667	-0.00070
200.26667	-0.00037
200.26667	-0.00086
200.26667	-0.00215
200.26667	-0.00070
200.26667	-0.00102
200.26667	0.00220
200.26667	0.00381
200.26667	0.00220
200.26667	0.00381
200.26667	0.00655
200.26667	0.00526
200.26667	0.00510
200.26667	0.00494
200.26667	0.00059
200.26667	-0.00021
200.26667	0.00108
200.26667	0.00092
200.26667	-0.00070
200.26667	-0.00037
200.26667	0.00075
200.26667	0.00043
200.26667	0.00027
200.26667	-0.00021
200.26667	0.00414
200.26667	0.00188
200.26667	0.00655
200.26667	0.00543
200.26667	0.00559
200.26667	0.00816
200.26667	0.00478
200.26667	0.00510
200.26667	0.00881
200.26667	0.00591
200.26667	0.00285
200.26667	-0.00037
200.26667	-0.00086
200.26667	-0.00086
200.26667	-0.00053
200.26667	0.00011
200.26667	0.00027
200.26667	0.00043
200.26667	0.00188
200.26667	-0.00053
200.26667	-0.00086
200.26667	0.00108
200.26667	0.00108
200.26667	0.00285
200.26667	0.00043
200.26667	-0.00086
200.26667	-0.00118
200.26667	-0.00086
200.26667	-0.00021
200.26667	-0.00086
200.26667	-0.00102
200.26667	-0.00166
200.26667	0.00011
200.26667	-0.00086
200.26667	-0.00037
200.26667	-0.00037
200.26667	-0.00070
200.26667	-0.00102
200.26667	0.00043
200.26667	0.00092
200.26667	-0.00070
200.26667	-0.00021
200.26667	-0.00118
200.38333	-0.00295
201.75000	-0.00070
202.76667	-0.00118
203.70000	-0.00086
204.38333	-0.00037
204.85000	-0.00118
205.26667	-0.00053
205.76667	-0.00021
206.28333	-0.00166
206.83333	-0.00182
207.20000	-0.00086
207.43333	-0.00070
207.73333	-0.00343
208.08333	-0.00472
208.53333	-0.00134
208.98333	-0.00166
209.38333	-0.00021
209.48333	-0.00166
209.50000	-0.00021
209.50000	-0.00118
209.50000	-0.00086
209.50000	-0.00053
209.50000	-0.00070
209.48333	-0.00247
209.48333	-0.00118
209.48333	0.00011
209.48333	-0.00134
209.48333	-0.00134
209.48333	-0.00118
209.48333	-0.00247
209.48333	-0.00102
209.48333	-0.00311
209.48333	-0.00182
209.48333	-0.00118
209.48333	-0.00360
209.48333	-0.00086
209.48333	-0.00070
209.48333	-0.00070
209.48333	-0.00198
209.48333	-0.00263
209.48333	-0.00198
209.48333	-0.00150
209.48333	-0.00215
209.48333	-0.00134
209.48333	-0.00134
209.48333	-0.00166
209.48333	-0.00037
209.48333	-0.00215
209.48333	-0.00053
209.48333	0.00236
209.48333	0.00285
209.48333	0.00333
209.48333	0.00156
209.48333	0.00381
209.48333	0.00430
209.48333	0.00269
209.48333	0.00092
209.48333	-0.00086
209.48333	-0.00134
209.48333	-0.00150
209.48333	0.00220
209.48333	-0.00215
209.48333	-0.00005
209.48333	-0.00231
209.48333	-0.00086
209.48333	0.00204
209.48333	0.00108
209.48333	-0.00263
209.48333	-0.00005
209.48333	-0.00311
209.48333	-0.00102
209.48333	-0.00231
209.48333	-0.00086
209.48333	-0.00053
209.48333	-0.00182
209.48333	-0.00134
209.48333	0.00462
209.48333	0.00140
209.48333	-0.00118
209.48333	-0.00053
209.48333	-0.00037
209.48333	0.00140
209.48333	0.00333
209.48333	0.00285
209.48333	0.00253
209.48333	0.00414
209.48333	0.00220
209.48333	0.00253
209.48333	0.00156
209.48333	0.00269
209.48333	0.00398
209.48333	0.00414
209.48333	0.00220
209.48333	0.00043
209.48333	0.00011
209.48333	-0.00037
209.48333	-0.00086
209.48333	-0.00053
209.48333	0.00172
209.48333	0.00140
209.48333	0.00140
209.48333	-0.00134
209.48333	-0.00005
209.48333	-0.00053
209.48333	-0.00102
209.48333	-0.00150
209.48333	-0.00070
209.48333	-0.00021
209.48333	0.00124
209.48333	-0.00005
209.48333	0.00204
209.48333	0.00269
209.48333	0.00140
209.48333	0.00236
209.48333	0.00220
209.48333	0.00124
209.48333	0.00027
209.48333	0.00043
209.48333	-0.00134
209.48333	-0.00166
209.48333	-0.00118
209.48333	-0.00247
209.48333	-0.00021
209.48333	-0.00134
209.48333	0.00333
209.48333	0.00317
209.48333	-0.00182
209.48333	-0.00102
209.48333	-0.00118
209.48333	-0.00021
209.48333	-0.00053
209.48333	-0.00247
209.48333	0.00059
209.48333	0.00317
209.48333	0.00494
209.48333	0.00478
209.48333	0.00365
209.48333	0.00414
209.48333	0.00236
209.48333	0.00269
209.48333	-0.00134
209.48333	-0.00005
209.48333	-0.00086
209.48333	-0.00150
209.48333	0.00333
209.48333	0.00462
209.48333	0.00317
209.48333	0.00220
209.48333	0.00075
209.48333	-0.00150
209.48333	-0.00005
209.48333	-0.00086
209.48333	-0.00182
209.48333	-0.00134
209.48333	-0.00166
209.48333	-0.00070
209.48333	-0.00182
209.48333	-0.00198
209.48333	-0.00118
209.48333	-0.00053
209.48333	-0.00021
209.48333	0.00124
209.48333	0.00365
209.48333	0.00414
209.48333	0.00301
209.48333	0.00365
209.48333	0.00301
209.48333	0.00398
209.48333	-0.00053
209.48333	-0.00150
209.48333	-0.00279
209.48333	-0.00198
209.48333	-0.00053
209.48333	-0.00102
209.48333	0.00059
209.48333	0.00204
209.48333	0.00333
209.48333	0.00220
209.48333	0.00333
209.48333	0.00269
209.48333	0.00381
209.48333	0.00269
209.48333	0.00043
209.48333	-0.00134
209.48333	-0.00037
209.48333	-0.00134
209.48333	-0.00037
209.48333	0.00011
209.48333	-0.00166
209.48333	-0.00295
209.48333	-0.00150
209.48333	-0.00327
209.48333	-0.00102
209.48333	-0.00134
209.48333	0.00011
209.48333	-0.00150
209.48333	-0.00037
209.48333	-0.00102
209.48333	0.00059
209.48333	-0.00150
209.48333	-0.00021
209.48333	-0.00263
209.48333	-0.00070
209.48333	-0.00037
209.48333	-0.00182
209.48333	-0.00102
209.48333	-0.00053
209.48333	-0.00279
209.48333	-0.00102
209.48333	-0.00231
209.48333	-0.00086
209.48333	-0.00150
209.48333	0.00043
209.48333	-0.00247
209.48333	-0.00150
209.48333	-0.00102
209.48333	-0.00279
209.48333	-0.00005
209.48333	-0.00279
209.48333	-0.00134
209.48333	-0.00134
209.48333	-0.00005
209.48333	-0.00263
209.60000	-0.00086
210.16667	-0.00134
211.01667	-0.00037
211.76667	-0.00102
212.18333	-0.00295
212.48333	-0.00166
212.76667	-0.00166
213.06667	0.00027
213.43333	-0.00150
213.71667	-0.00021
214.08333	-0.00182
214.46667	-0.00037
215.01667	-0.00102
215.85000	-0.00134
216.56667	-0.00118
217.16667	-0.00037
217.61667	-0.00037
218.03333	-0.00021
218.16667	-0.00295
218.16667	-0.00182
218.16667	-0.00198
218.16667	-0.00134
218.16667	-0.00118
218.16667	0.00027
218.18333	-0.00086
218.35000	-0.00037
218.55000	-0.00182
219.06667	-0.00102
219.45000	-0.00102
219.46667	-0.00279
219.46667	-0.00198
219.46667	-0.00134
219.46667	-0.00150
219.45000	0.00027
219.45000	-0.00053
219.45000	-0.00182
219.45000	-0.00150
219.45000	-0.00070
219.45000	-0.00150
219.45000	-0.00198
219.45000	-0.00037
219.45000	-0.00279
219.45000	-0.00102
219.45000	-0.00053
219.45000	-0.00037
219.45000	0.00011
219.45000	-0.00215
219.45000	-0.00150
219.45000	-0.00360
219.45000	-0.00150
219.45000	0.00027
219.45000	-0.00070
219.45000	0.00027
219.45000	-0.00005
219.45000	-0.00279
219.45000	-0.00166
219.45000	-0.00263
219.45000	-0.00037
219.45000	-0.00053
219.45000	-0.00247
219.45000	-0.00053
219.45000	-0.00134
219.45000	0.00011
219.45000	-0.00005
219.45000	-0.00150
219.45000	-0.00102
219.45000	-0.00343
219.45000	-0.00102
219.45000	-0.00021
219.45000	-0.00134
219.45000	-0.00086
219.45000	-0.00134
219.45000	-0.00215
219.45000	0.00027
219.45000	-0.00150
219.45000	-0.00102
219.45000	-0.00102
219.45000	-0.00231
219.45000	-0.00118
219.45000	-0.00263
219.45000	-0.00053
219.45000	-0.00118
219.45000	-0.00086
219.45000	-0.00198
219.45000	-0.00198
219.45000	-0.00134
219.45000	-0.00086
219.45000	-0.00166
219.45000	-0.00231
219.45000	-0.00150
219.45000	-0.00182
219.45000	-0.00086
219.45000	-0.00231
219.45000	-0.00053
219.45000	-0.00231
219.45000	0.00027
219.45000	0.00204
219.45000	-0.00166
219.45000	0.00027
219.45000	-0.00102
219.45000	-0.00102
219.45000	-0.00150
219.45000	-0.00102
219.45000	0.00043
219.45000	-0.00182
219.45000	-0.00086
219.45000	0.00220
219.45000	0.00365
219.45000	0.00236
219.45000	0.00156
219.45000	0.00092
219.45000	0.00092
219.45000	-0.00134
219.45000	-0.00070
219.45000	-0.00231
219.45000	-0.00037
219.45000	-0.00021
219.45000	-0.00231
219.45000	-0.00118
219.45000	-0.00134
219.45000	-0.00134
219.45000	-0.00037
219.45000	-0.00021
219.45000	0.00236
219.45000	0.00269
219.45000	0.00188
219.45000	0.00301
219.45000	0.00108
219.45000	0.00043
219.45000	0.00301
219.45000	0.00220
219.45000	0.00188
219.45000	0.00059
219.45000	0.00269
219.45000	-0.00150
219.45000	-0.00005
219.45000	-0.00053
219.45000	-0.00021
219.45000	-0.00053
219.45000	-0.00166
219.45000	-0.00150
219.45000	-0.00086
219.45000	-0.00231
219.45000	0.00092
219.45000	0.00172
219.45000	0.00172
219.45000	0.00349
219.45000	0.00381
219.45000	0.00172
