Motion Sensor Data File Sep 20	 2018 9:52 AM
Time (s)	Distance (cm)	Dist Error (cm)
7.250	21.469	0.239
7.260	21.315	0.239
7.270	21.174	0.239
7.280	21.047	0.239
7.290	20.941	0.239
7.300	20.869	0.239
7.310	20.809	0.239
7.320	20.768	0.239
7.330	20.752	0.239
7.340	20.775	0.239
7.350	20.802	0.239
7.360	20.858	0.239
7.370	20.929	0.239
7.380	21.042	0.239
7.390	21.159	0.239
7.400	21.297	0.239
7.410	21.454	0.239
7.420	21.627	0.239
7.430	21.826	0.239
7.440	22.029	0.239
7.450	22.249	0.239
7.460	22.474	0.239
7.470	22.725	0.239
