Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
190.73333	0.00011
190.73333	-0.00215
190.73333	0.02653
190.73333	0.06825
190.73333	0.06680
190.73333	0.00156
190.73333	-0.00070
190.73333	-0.00005
190.73333	-0.00005
190.73333	-0.00086
190.73333	0.00043
190.73333	-0.00053
190.73333	-0.00070
190.73333	0.00027
190.73333	-0.00150
190.73333	-0.00102
190.73333	-0.00037
190.73333	-0.00263
190.73333	-0.00102
190.73333	-0.00102
190.73333	-0.00166
190.75000	-0.00005
190.75000	-0.00053
190.75000	-0.00134
190.75000	-0.00134
190.75000	-0.00231
190.75000	-0.00134
190.75000	-0.00166
190.75000	-0.00134
190.75000	-0.00150
190.78333	-0.00102
191.08333	-0.00005
191.53333	0.03136
191.71667	0.05117
191.86667	0.06245
192.46667	0.06873
193.30000	0.00881
194.10000	-0.00247
194.96667	-0.00263
195.78333	-0.00086
196.20000	-0.00134
196.41667	-0.00311
196.75000	-0.00166
197.25000	-0.00102
197.68333	-0.00376
197.98333	-0.00231
198.21667	-0.00134
198.41667	-0.00005
198.58333	-0.00166
198.86667	-0.00118
199.10000	-0.00118
199.26667	-0.00134
199.53333	-0.00182
199.66667	-0.00150
199.71667	-0.00166
199.71667	-0.00182
199.71667	-0.00150
199.73333	-0.00134
199.75000	-0.00134
199.78333	-0.00134
199.83333	-0.00182
199.83333	-0.00102
199.83333	-0.00134
199.85000	-0.00231
199.85000	-0.00037
199.85000	0.00011
199.85000	-0.00037
199.85000	-0.00021
199.90000	-0.00198
199.93333	-0.00182
199.93333	-0.00150
199.93333	-0.00215
199.93333	-0.00295
199.93333	-0.00102
199.96667	-0.00037
200.10000	-0.00166
200.41667	-0.00263
200.48333	-0.00037
200.46667	0.00140
200.46667	-0.00376
200.46667	-0.00295
200.46667	-0.00295
200.46667	-0.00118
200.46667	-0.00198
200.46667	-0.00150
200.46667	-0.00166
200.46667	-0.00118
200.46667	-0.00295
200.45000	-0.00231
200.45000	-0.00118
200.45000	-0.00215
200.45000	-0.00311
200.45000	-0.00166
200.45000	-0.00182
200.45000	-0.00166
200.45000	-0.00166
200.45000	-0.00263
200.45000	-0.00134
200.45000	-0.00392
200.45000	-0.00311
200.45000	-0.00166
200.45000	-0.00118
200.45000	-0.00198
200.45000	0.00043
200.45000	-0.00053
200.45000	-0.00134
200.45000	-0.00134
200.45000	-0.00150
200.45000	-0.00037
200.45000	-0.00166
200.45000	-0.00086
200.45000	0.02459
200.45000	0.02604
200.45000	0.04264
200.45000	0.04408
200.45000	0.05890
200.45000	0.07904
200.45000	0.06116
200.45000	-0.00086
200.45000	0.00011
200.45000	0.00027
200.45000	-0.00198
200.45000	-0.00360
200.45000	-0.00182
200.45000	-0.00150
200.45000	-0.00150
200.45000	0.02653
200.45000	0.05488
200.45000	0.03088
200.45000	0.04505
200.45000	0.03700
200.45000	0.03651
200.45000	0.02105
200.45000	-0.00376
200.45000	-0.00134
200.45000	-0.00118
200.45000	-0.00215
200.45000	-0.00134
200.45000	-0.00053
200.45000	-0.00070
200.45000	-0.00247
200.45000	-0.00182
200.45000	-0.00021
200.45000	0.00092
200.45000	0.05423
200.45000	0.05858
200.45000	0.00494
200.45000	-0.00021
200.45000	-0.00037
200.45000	-0.00231
200.45000	-0.00102
200.45000	-0.00231
200.45000	-0.00150
200.45000	-0.00021
200.45000	-0.00295
200.45000	-0.00295
200.45000	-0.00150
200.45000	0.05278
200.45000	0.07356
200.45000	0.05536
200.45000	0.02492
200.45000	0.00204
200.45000	-0.00295
200.45000	-0.00215
200.45000	-0.00134
200.45000	-0.00215
200.45000	-0.00247
200.45000	-0.00053
200.45000	-0.00086
200.45000	0.00011
200.45000	-0.00070
200.45000	-0.00037
200.45000	-0.00102
200.45000	-0.00231
200.45000	0.00011
200.45000	0.03072
200.45000	0.05456
200.45000	0.05778
200.45000	0.06358
200.45000	0.07115
200.45000	0.07695
200.45000	0.06986
200.45000	0.04779
200.45000	0.00301
200.45000	-0.00086
200.45000	-0.00037
200.45000	-0.00247
200.45000	-0.00118
200.45000	-0.00198
200.45000	-0.00070
200.45000	-0.00182
200.45000	-0.00327
200.45000	-0.00134
200.45000	-0.00053
200.45000	-0.00488
200.45000	0.05439
200.45000	0.07211
200.45000	0.07372
200.45000	0.07308
200.45000	0.07211
200.45000	0.06986
200.45000	0.06937
200.45000	0.07131
200.45000	0.07308
200.45000	0.07115
200.45000	0.06277
200.45000	0.01348
200.45000	-0.00182
200.45000	-0.00182
200.45000	-0.00408
200.45000	-0.00198
200.45000	-0.00182
200.45000	-0.00247
200.45000	-0.00311
200.45000	-0.00037
200.45000	-0.00182
200.45000	-0.00134
200.45000	-0.00021
200.45000	-0.00086
200.45000	-0.00037
200.45000	-0.00005
200.45000	-0.00037
200.45000	0.00059
200.45000	-0.00005
200.45000	0.00075
200.45000	0.00140
200.45000	0.04763
200.45000	0.05584
200.45000	0.07389
200.45000	0.07678
200.45000	0.00591
200.45000	0.00140
200.45000	0.00075
200.45000	0.00027
200.45000	0.00027
200.45000	0.00092
200.45000	0.00124
200.45000	0.00059
200.45000	-0.00150
200.45000	0.00140
200.45000	0.01509
200.45000	0.07566
200.45000	0.07678
200.45000	0.07598
200.45000	0.07743
200.45000	0.06519
200.45000	0.04779
200.45000	0.00043
200.45000	0.00027
200.45000	0.00027
200.45000	0.00059
200.45000	-0.00070
200.45000	0.00027
200.45000	-0.00037
200.45000	-0.00134
200.45000	0.00027
200.45000	0.00043
200.45000	-0.00005
200.45000	-0.00053
200.45000	-0.00166
200.45000	-0.00053
200.45000	0.00108
200.45000	-0.00070
200.45000	-0.00037
200.45000	-0.00053
200.45000	0.00075
200.45000	-0.00037
200.45000	-0.00053
200.45000	-0.00005
200.45000	-0.00182
200.45000	0.00108
200.45000	-0.00037
200.45000	0.00027
200.45000	-0.00150
200.45000	-0.00295
200.45000	-0.00231
200.45000	-0.00118
200.45000	-0.00005
200.45000	-0.00150
200.46667	-0.00311
200.46667	-0.00295
200.50000	-0.00150
201.03333	-0.00134
201.98333	-0.00215
203.06667	-0.00231
204.08333	-0.00392
204.96667	-0.00118
205.60000	-0.00198
206.16667	-0.00070
206.66667	-0.00053
207.23333	0.00092
207.70000	-0.00263
207.96667	-0.00166
208.16667	-0.00053
208.63333	-0.00005
209.28333	-0.00134
209.66667	-0.00247
209.73333	-0.00263
209.75000	-0.00070
209.76667	-0.00231
209.85000	-0.00053
209.93333	-0.00086
209.96667	-0.00279
209.98333	-0.00166
209.98333	-0.00198
209.98333	0.00027
209.98333	0.00027
209.98333	-0.00086
209.98333	-0.00279
209.98333	-0.00247
209.98333	-0.00231
209.98333	-0.00376
209.98333	-0.00279
209.98333	-0.00134
209.98333	-0.00053
209.98333	-0.00134
209.98333	-0.00263
209.98333	-0.00118
209.98333	-0.00215
209.98333	-0.00086
210.00000	-0.00215
210.00000	-0.00102
210.01667	-0.00086
210.05000	-0.00134
210.06667	-0.00070
210.10000	-0.00102
210.10000	-0.00295
210.08333	-0.00231
210.08333	-0.00102
210.08333	-0.00263
210.08333	-0.00150
210.08333	-0.00182
210.08333	-0.00327
210.08333	-0.00360
210.08333	-0.00343
210.08333	-0.00231
210.08333	-0.00021
210.08333	-0.00037
